,Author_name,Article_title,Publish_date,description,Article_links
10,"<div id=""gsc_prf_in"">Chabila C. Mapoma</div>","We used the comparative risk assessment framework developed for previous iterations of GBD to estimate levels and trends in exposure, attributable deaths, and attributable disability-adjusted life-years (DALYs), by age group, sex, year, and location for 84 behavioural, environmental and occupational, and metabolic risks or clusters of risks from 1990 to 2016. This study included 481 risk-outcome pairs that met the GBD study criteria for convincing or probable evidence of causation. We extracted relative risk (RR) and …",2017,"The Global Burden of Diseases, Injuries, and Risk Factors Study 2016 (GBD 2016) provides a comprehensive assessment of risk factor exposure and attributable burden of disease. By providing estimates over a long time series, this study can monitor risk exposure trends critical to health surveillance and inform policy debates on the importance of addressing risks in context. We used the comparative risk assessment framework developed for previous iterations of GBD to estimate levels and trends in exposure, attributable deaths, and attributable disability-adjusted life-years (DALYs), by age group, sex, year, and location for 84 behavioural, environmental and occupational, and metabolic risks or clusters of risks from 1990 to 2016. This study included 481 risk-outcome pairs that met the GBD study criteria for convincing or probable evidence of causation. We extracted relative risk (RR) and … ",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=4wnEDPMAAAAJ&citation_for_view=4wnEDPMAAAAJ:roLk4NBRz8UC
11,"<div id=""gsc_prf_in"">Chabila C. Mapoma</div>","We estimated maternal mortality at the global, regional, and national levels from 1990 to 2015 for ages 10–54 years by systematically compiling and processing all available data sources from 186 of 195 countries and territories, 11 of which were analysed at the subnational level. We quantified eight underlying causes of maternal death and four timing categories, improving estimation methods since GBD 2013 for adult all-cause mortality, HIV-related maternal mortality, and late maternal death. Secondary analyses then …",2016,"In transitioning from the Millennium Development Goal to the Sustainable Development Goal era, it is imperative to comprehensively assess progress toward reducing maternal mortality to identify areas of success, remaining challenges, and frame policy discussions. We aimed to quantify maternal mortality throughout the world by underlying cause and age from 1990 to 2015. We estimated maternal mortality at the global, regional, and national levels from 1990 to 2015 for ages 10–54 years by systematically compiling and processing all available data sources from 186 of 195 countries and territories, 11 of which were analysed at the subnational level. We quantified eight underlying causes of maternal death and four timing categories, improving estimation methods since GBD 2013 for adult all-cause mortality, HIV-related maternal mortality, and late maternal death. Secondary analyses then … ",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=4wnEDPMAAAAJ&citation_for_view=4wnEDPMAAAAJ:W7OEmFMy1HYC
12,"<div id=""gsc_prf_in"">Chabila C. Mapoma</div>",We have evaluated how well civil registration systems captured deaths using a set of demographic methods called death distribution methods for adults and from consideration of survey and census data for children younger than 5 years. We generated an overall assessment of …,2017,"Detailed assessments of mortality patterns, particularly age-specific mortality, represent a crucial input that enables health systems to target interventions to specific populations. Understanding how all-cause mortality has changed with respect to development status can identify exemplars for best practice. To accomplish this, the Global Burden of Diseases, Injuries, and Risk Factors Study 2016 (GBD 2016) estimated age-specific and sex-specific all-cause mortality between 1970 and 2016 for 195 countries and territories and at the subnational level for the five countries with a population greater than 200 million in 2016. We have evaluated how well civil registration systems captured deaths using a set of demographic methods called death distribution methods for adults and from consideration of survey and census data for children younger than 5 years. We generated an overall assessment of … ",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=4wnEDPMAAAAJ&citation_for_view=4wnEDPMAAAAJ:LkGwnXOMwfcC
13,"<div id=""gsc_prf_in"">Chabila C. Mapoma</div>","We applied statistical methods to systematically compiled data to estimate the performance of 33 health-related SDG indicators for 188 countries from 1990 to 2015. We rescaled each indicator on a scale from 0 (worst observed value between 1990 and 2015) to 100 (best observed). Indices representing all 33 health-related SDG indicators (health-related SDG index), health-related SDG indicators included in the Millennium Development Goals (MDG index), and health-related indicators not included in the MDGs (non-MDG index) were computed as …",2016,"In September, 2015, the UN General Assembly established the Sustainable Development Goals (SDGs). The SDGs specify 17 universal goals, 169 targets, and 230 indicators leading up to 2030. We provide an analysis of 33 health-related SDG indicators based on the Global Burden of Diseases, Injuries, and Risk Factors Study 2015 (GBD 2015). We applied statistical methods to systematically compiled data to estimate the performance of 33 health-related SDG indicators for 188 countries from 1990 to 2015. We rescaled each indicator on a scale from 0 (worst observed value between 1990 and 2015) to 100 (best observed). Indices representing all 33 health-related SDG indicators (health-related SDG index), health-related SDG indicators included in the Millennium Development Goals (MDG index), and health-related indicators not included in the MDGs (non-MDG index) were computed as … ",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=4wnEDPMAAAAJ&citation_for_view=4wnEDPMAAAAJ:zYLM7Y9cAGgC
14,"<div id=""gsc_prf_in"">Chabila C. Mapoma</div>","Drawing from analytical approaches developed and refined in previous iterations of the GBD study, we generated updated estimates of child mortality by age group (neonatal, post-neonatal, ages 1–4 years, and under 5) for 195 countries …",2016,"Established in 2000, Millennium Development Goal 4 (MDG4) catalysed extraordinary political, financial, and social commitments to reduce under-5 mortality by two-thirds between 1990 and 2015. At the country level, the pace of progress in improving child survival has varied markedly, highlighting a crucial need to further examine potential drivers of accelerated or slowed decreases in child mortality. The Global Burden of Disease 2015 Study (GBD 2015) provides an analytical framework to comprehensively assess these trends for under-5 mortality, age-specific and cause-specific mortality among children under 5 years, and stillbirths by geography over time. Drawing from analytical approaches developed and refined in previous iterations of the GBD study, we generated updated estimates of child mortality by age group (neonatal, post-neonatal, ages 1–4 years, and under 5) for 195 countries … ",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=4wnEDPMAAAAJ&citation_for_view=4wnEDPMAAAAJ:8k81kl-MbHgC
15,"<div id=""gsc_prf_in"">Chabila C. Mapoma</div>",We mapped the most widely used list of causes amenable to personal health care developed by Nolte and McKee to 32 GBD causes. We accounted for variations in cause of death certification and misclassifications through the …,2017,"National levels of personal health-care access and quality can be approximated by measuring mortality rates from causes that should not be fatal in the presence of effective medical care (ie, amenable mortality). Previous analyses of mortality amenable to health care only focused on high-income countries and faced several methodological challenges. In the present analysis, we use the highly standardised cause of death and risk factor estimates generated through the Global Burden of Diseases, Injuries, and Risk Factors Study (GBD) to improve and expand the quantification of personal health-care access and quality for 195 countries and territories from 1990 to 2015. We mapped the most widely used list of causes amenable to personal health care developed by Nolte and McKee to 32 GBD causes. We accounted for variations in cause of death certification and misclassifications through the … ",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=4wnEDPMAAAAJ&citation_for_view=4wnEDPMAAAAJ:qjMakFHDy7sC
16,"<div id=""gsc_prf_in"">Chabila C. Mapoma</div>","Global, regional, and national age-sex specific mortality for 264 causes of death, 1980–2016: a systematic analysis for the Global Burden of Disease Study 2016",2017,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=4wnEDPMAAAAJ&citation_for_view=4wnEDPMAAAAJ:-f6ydRqryjwC
17,"<div id=""gsc_prf_in"">Chabila C. Mapoma</div>","Using 694 data sources of individual and population-level alcohol consumption, along with 592 prospective and retrospective studies on the risk of alcohol use, we produced estimates of the prevalence of current drinking, abstention, the distribution of alcohol consumption among current drinkers in standard …",2018,"Alcohol use is a leading risk factor for death and disability, but its overall association with health remains complex given the possible protective effects of moderate alcohol consumption on some conditions. With our comprehensive approach to health accounting within the Global Burden of Diseases, Injuries, and Risk Factors Study 2016, we generated improved estimates of alcohol use and alcohol-attributable deaths and disability-adjusted life-years (DALYs) for 195 locations from 1990 to 2016, for both sexes and for 5-year age groups between the ages of 15 years and 95 years and older. Using 694 data sources of individual and population-level alcohol consumption, along with 592 prospective and retrospective studies on the risk of alcohol use, we produced estimates of the prevalence of current drinking, abstention, the distribution of alcohol consumption among current drinkers in standard … ",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=4wnEDPMAAAAJ&citation_for_view=4wnEDPMAAAAJ:_kc_bZDykSQC
18,"<div id=""gsc_prf_in"">Chabila C. Mapoma</div>","We used standardised GBD 2016 methods to measure 37 health-related indicators from 1990 to 2016, an increase of four indicators since GBD 2015. We substantially revised the universal health coverage (UHC) measure, which focuses on coverage of essential health services, to also represent personal health-care access and quality for several non-communicable …",2017,"The UN's Sustainable Development Goals (SDGs) are grounded in the global ambition of “leaving no one behind”. Understanding today's gains and gaps for the health-related SDGs is essential for decision makers as they aim to improve the health of populations. As part of the Global Burden of Diseases, Injuries, and Risk Factors Study 2016 (GBD 2016), we measured 37 of the 50 health-related SDG indicators over the period 1990–2016 for 188 countries, and then on the basis of these past trends, we projected indicators to 2030. We used standardised GBD 2016 methods to measure 37 health-related indicators from 1990 to 2016, an increase of four indicators since GBD 2015. We substantially revised the universal health coverage (UHC) measure, which focuses on coverage of essential health services, to also represent personal health-care access and quality for several non-communicable … ",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=4wnEDPMAAAAJ&citation_for_view=4wnEDPMAAAAJ:_FxGoFyzp5QC
19,"<div id=""gsc_prf_in"">Chabila C. Mapoma</div>","The causes of death database is composed of vital registration (VR), verbal autopsy (VA), registry, survey, police, and surveillance data. GBD 2017 added ten VA studies, 127 country-years of VR data, 502 cancer-registry country-years, and an additional surveillance country-year. Expansions of the GBD cause of death …",2018,"Global development goals increasingly rely on country-specific estimates for benchmarking a nation's progress. To meet this need, the Global Burden of Diseases, Injuries, and Risk Factors Study (GBD) 2016 estimated global, regional, national, and, for selected locations, subnational cause-specific mortality beginning in the year 1980. Here we report an update to that study, making use of newly available data and improved methods. GBD 2017 provides a comprehensive assessment of cause-specific mortality for 282 causes in 195 countries and territories from 1980 to 2017. The causes of death database is composed of vital registration (VR), verbal autopsy (VA), registry, survey, police, and surveillance data. GBD 2017 added ten VA studies, 127 country-years of VR data, 502 cancer-registry country-years, and an additional surveillance country-year. Expansions of the GBD cause of death … ",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=4wnEDPMAAAAJ&citation_for_view=4wnEDPMAAAAJ:4DMP91E08xMC
20,"<div id=""gsc_prf_in"">Robert Serpell</div>",The significance of schooling: Life-journeys in an African society,2010,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=fP4IhsgAAAAJ&citation_for_view=fP4IhsgAAAAJ:u5HHmVD_uO8C
21,"<div id=""gsc_prf_in"">Robert Serpell</div>","Pattern reproduction tasks were presented in four different media to samples of urban Zambian and urban British schoolchildren. When the patterns were reproduced as wire models, the Zambian children excelled the British. When the patterns were reproduced by drawing, the British children excelled the Zambian. No reliable cross‐cultural differences were found when the patterns were reproduced as plasticine models or as configurations of hand positions. Both cultural groups were equally adversely affected when required to perform the modelling tasks or the hand positions task blind‐folded. The results are interpreted as suggesting that cross‐cultural differences in performance of pattern reproduction tasks reflect different sets of highly specific perceptual skills rather than differences on broader cognitive variables such as practical intelligence, field‐dependency or sensotypes.",1979,"Pattern reproduction tasks were presented in four different media to samples of urban Zambian and urban British schoolchildren. When the patterns were reproduced as wire models, the Zambian children excelled the British. When the patterns were reproduced by drawing, the British children excelled the Zambian. No reliable cross‐cultural differences were found when the patterns were reproduced as plasticine models or as configurations of hand positions. Both cultural groups were equally adversely affected when required to perform the modelling tasks or the hand positions task blind‐folded. The results are interpreted as suggesting that cross‐cultural differences in performance of pattern reproduction tasks reflect different sets of highly specific perceptual skills rather than differences on broader cognitive variables such as practical intelligence, field‐dependency or sensotypes. ",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=fP4IhsgAAAAJ&citation_for_view=fP4IhsgAAAAJ:u-x6o8ySG0sC
22,"<div id=""gsc_prf_in"">Robert Serpell</div>","This study examined parents' verbal and affective interactions with their first-grade children during shared storybook reading and how these interactions relate to growth in children's reading activity and achievement. Participants varied in income level and ethnicity. The nature and amount of meaning-related talk was similar regardless of whether the parent or child assumed primary responsibility for reading, but there was more talk about the reading process itself (word recognition) when the child read. Talk that went beyond the immediate content of the story was more common among middle-income families. Positive affective interactions were associated with meaning-related talk, and negative interactions were associated with parental attempts to have the child use decoding strategies to identify unknown words. Affective quality was an important contributor to children's reading of challenging materials in third …",2001,"This study examined parents' verbal and affective interactions with their first-grade children during shared storybook reading and how these interactions relate to growth in children's reading activity and achievement. Participants varied in income level and ethnicity. The nature and amount of meaning-related talk was similar regardless of whether the parent or child assumed primary responsibility for reading, but there was more talk about the reading process itself (word recognition) when the child read. Talk that went beyond the immediate content of the story was more common among middle-income families. Positive affective interactions were associated with meaning-related talk, and negative interactions were associated with parental attempts to have the child use decoding strategies to identify unknown words. Affective quality was an important contributor to children's reading of challenging materials in third … ",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=fP4IhsgAAAAJ&citation_for_view=fP4IhsgAAAAJ:d1gkVwhDpl0C
23,"<div id=""gsc_prf_in"">Robert Serpell</div>",Culture's influence on behaviour,1976,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=fP4IhsgAAAAJ&citation_for_view=fP4IhsgAAAAJ:uWQEDVKXjbEC
24,"<div id=""gsc_prf_in"">Robert Serpell</div>","Researchers and educators have identified many characteristics of the home environment that are associated with literacy development, as mentioned in Parts One and Two of this volume. However, we do not yet have a detailed understanding of how children's everyday activities contribute to literacy development. In this chapter we describe the first phase of an ongoing longitudinal study, the Early Childhood Project, that addresses this issue by exploring the contexts in which young urban children from various sociocultural groups become literate. The framework for the project draws on several contemporary perspectives. We share Bronfenbrenner's (1979) view that human development occurs in a context of overlapping and interdependent systems of social and cultural organization. To understand any aspect of development, including literacy development, it is important to examine each of the relevant contexts and their interrelations (for example, home, school, and community), including the beliefs and values of the adults responsible for structuring the environments (Serpell, 1993; Sonnen-",1995,"Researchers and educators have identified many characteristics of the home environment that are associated with literacy development, as mentioned in Parts One and Two of this volume. However, we do not yet have a detailed understanding of how children's everyday activities contribute to literacy development. In this chapter we describe the first phase of an ongoing longitudinal study, the Early Childhood Project, that addresses this issue by exploring the contexts in which young urban children from various sociocultural groups become literate. The framework for the project draws on several contemporary perspectives. We share Bronfenbrenner's (1979) view that human development occurs in a context of overlapping and interdependent systems of social and cultural organization. To understand any aspect of development, including literacy development, it is important to examine each of the relevant contexts and their interrelations (for example, home, school, and community), including the beliefs and values of the adults responsible for structuring the environments (Serpell, 1993; Sonnen- ",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=fP4IhsgAAAAJ&citation_for_view=fP4IhsgAAAAJ:9yKSN-GCB0IC
25,"<div id=""gsc_prf_in"">Robert Serpell</div>",Becoming literate in the city: The Baltimore early childhood project,2005,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=fP4IhsgAAAAJ&citation_for_view=fP4IhsgAAAAJ:HE397vMXCloC
26,"<div id=""gsc_prf_in"">Robert Serpell</div>",Becoming literate in the city: The Baltimore early childhood project,2005,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=fP4IhsgAAAAJ&citation_for_view=fP4IhsgAAAAJ:YsMSGLbcyi4C
27,"<div id=""gsc_prf_in"">Robert Serpell</div>","The intimate family culture for early literacy socialization was documented for a socioculturally heterogeneous sample of 66 children enrolled in pre-kindergarten through third grade at public elementary schools in a large US city. Parents were interviewed about 3 types of indexes of their family's intimate culture: the child's engagement in various literacy-related activities at home, the parents' orientation towards the significance of literacy for early child development, and the family's routines of dinnertime, reading aloud, and doing homework for school. Basic reading competencies were assessed with the Woodcock-Johnson Psychoeducational Battery--Tests of Achievement, Revised Papers. Multiple regression analysis found that a significant proportion of variance in the children's literacy development was predicted by each of the quantitative indexes of intimate family culture, leaving little or no additional variance …",2002,"The intimate family culture for early literacy socialization was documented for a socioculturally heterogeneous sample of 66 children enrolled in pre-kindergarten through third grade at public elementary schools in a large US city. Parents were interviewed about 3 types of indexes of their family's intimate culture: the child's engagement in various literacy-related activities at home, the parents' orientation towards the significance of literacy for early child development, and the family's routines of dinnertime, reading aloud, and doing homework for school. Basic reading competencies were assessed with the Woodcock-Johnson Psychoeducational Battery--Tests of Achievement, Revised Papers. Multiple regression analysis found that a significant proportion of variance in the children's literacy development was predicted by each of the quantitative indexes of intimate family culture, leaving little or no additional variance … ",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=fP4IhsgAAAAJ&citation_for_view=fP4IhsgAAAAJ:UeHWp8X0CEIC
